"sce","region","year","Units","value"
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2030","MtCO2e",436.963188836186
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2035","MtCO2e",327.711544862474
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2040","MtCO2e",218.461452714999
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2045","MtCO2e",109.213090933545
"NDC_LTT,date=2023-27-10T10:41:05+02:00","South Korea","2050","MtCO2e",-0.026475921825914
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2020","MtCO2e",2615.99088134228
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2025","MtCO2e",2593.07223702877
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2030","MtCO2e",2574.85222463205
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2035","MtCO2e",2261.96719416864
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2040","MtCO2e",1937.7946815662
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2045","MtCO2e",1608.56214160345
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Southeast Asia","2050","MtCO2e",1272.48449178122
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2020","MtCO2e",381.940388500431
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2025","MtCO2e",445.901377809897
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2030","MtCO2e",472.961278026377
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2035","MtCO2e",416.463050907422
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2040","MtCO2e",362.625661930401
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2045","MtCO2e",310.380211460981
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Taiwan","2050","MtCO2e",261.106712138181
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2020","MtCO2e",5834.65635331992
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2025","MtCO2e",4750.28971719757
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2030","MtCO2e",3784.01692962422
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2035","MtCO2e",3222.63790857977
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2040","MtCO2e",2609.82899910765
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2045","MtCO2e",1982.57819486112
"NDC_LTT,date=2023-27-10T10:41:05+02:00","USA","2050","MtCO2e",1003.31996113422
