Title: GramProteinFatPerKcal,,,,,,,,
Source: DF_Macronutrient_FoodItem3 - module_aglu_L100.FAO_SUA_connection,,,,,,,,
#######,,,,,,,,
GCAM_commodity,GCAM_region_ID,Mt,fatperc,proteinperc,Kcalperg,MKcal,gProteinPerKcal,gFatPerKcal
Pork,11,53.0591544,37.24570274,11.09308148,3.837831553,203632.0969,2.890455542,9.7048821
Poultry,11,46.73787732,11.66107334,11.54064458,1.569574196,73358.56622,7.352723181,7.429450207
Rice,11,162.0383867,0.881742441,4.913295964,2.713061905,439620.1741,1.8109782,0.324999013
RootTuber,11,98.51617728,0.156426892,1.453525813,0.811456194,79941.5623,1.791256044,0.192773058
SheepGoat,11,4.958233534,13.36613974,13.42770677,1.99275437,9880.541542,6.738264872,6.707369428
Soybean,11,10.26910899,41.1670209,17.68398477,4.767188622,48954.77954,3.709520678,8.635492354
SugarCrop,11,74.67673604,0.023034745,0.011018473,0.497725629,37168.5254,0.022137644,0.046280006
Vegetables,11,503.7103035,0.204487258,1.316650789,0.259546987,130736.4915,5.07288027,0.787862192
Wheat,11,87.82379667,1.936494905,10.74071011,3.365774754,295595.1176,3.19115535,0.57534893
Beef,32,1.026815562,15.00698905,10.65279416,1.802526896,1850.862668,5.909922444,8.325528501
Corn,32,1.390180397,2.7690155,7.691445424,3.362361415,4674.288926,2.287512993,0.823532975
Dairy,32,5.072167977,4.198955233,3.723975831,0.662460638,3360.111634,5.621429588,6.338422229
FiberCrop,32,0.005849448,59.27397106,0,5.239819041,30.650048,0,11.31221719
Fruits,32,7.685325461,0.6485177,0.650630234,0.558232558,4290.198894,1.165518249,1.161733923
Legumes,32,0.30486893,1.769272719,22.42446836,3.406231046,1038.454013,6.583366792,0.519422404
MiscCrop,32,0.109187639,10.82992885,7.402680778,1.850807886,202.085344,3.999702419,5.851460291
NutsSeeds,32,0.033614485,31.73617605,14.97542531,3.665580589,123.216604,4.085417016,8.657885233
OilCrop,32,0.170244005,30.93431593,2.042299263,2.957684091,503.527986,0.690506221,10.45896552
OilPalm,32,1.437737071,27.55930885,0,2.436242903,3502.676736,0,11.31221719
OtherGrain,32,0.29461767,0.475338898,5.500977072,3.994243368,1176.774674,1.377226314,0.119005993
OtherMeat_Fish,32,0.530428316,5.980416706,12.8528298,1.111729386,589.692746,11.56111368,5.379381694
Pork,32,0.383528728,28.42483578,11.02045707,3.018005502,1157.491812,3.651569577,9.418417483
Poultry,32,2.065589287,8.675670208,10.57204778,1.265534286,2614.074064,8.3538217,6.855341892
Rice,32,2.022366139,0.429845792,5.158127182,2.607717753,5273.760084,1.978023571,0.164836011
RootTuber,32,3.768839854,0.149852447,1.16977667,0.796891282,3003.355624,1.467925043,0.188046287
SheepGoat,32,0.012668819,7.208732188,9.612328689,1.051703109,13.323836,9.139773956,6.854341423
Soybean,32,0.20466469,88.52214304,4.36700308,8.028252895,1643.099894,0.543954349,11.02632717
SugarCrop,32,18.53815581,0.02774004,0.057336478,0.531610125,9855.071322,0.107854375,0.052181174
Vegetables,32,2.134198899,0.206804645,1.100056945,0.284177972,606.492316,3.871014124,0.727729329
Wheat,32,1.166094408,1.400565829,9.327601139,3.548805394,4138.242124,2.62837775,0.394658391
Beef,12,0.450667425,11.06214876,13.48953247,1.548093937,697.675508,8.713639494,7.145657314
Corn,12,0.866331232,4.108605168,7.522775186,3.410197633,2954.360716,2.205964579,1.204799724
Dairy,12,12.63142373,7.762046195,5.466340975,1.071663325,13536.63355,5.100800641,7.242989485
FiberCrop,12,1.34E-04,65.12023675,0,5.764094658,0.773618,0,11.29756547
Fruits,12,7.920718137,0.276465029,0.475397373,0.405052845,3208.309413,1.173667533,0.682540642
Legumes,12,0.227760528,1.766139217,22.15611378,3.39827832,773.9936644,6.519805529,0.519715883
MiscCrop,12,0.483930038,14.14678897,6.974351104,2.02657296,980.71953,3.441450785,6.980646271
NutsSeeds,12,0.242699803,31.67052972,12.2196499,3.567027275,865.716816,3.425723707,8.878690091
OilCrop,12,1.164028466,72.2448158,0.81471155,6.44650589,7503.916361,0.126380331,11.20681762
OilPalm,12,0.069611323,27.00968644,0,2.387568502,166.201802,0,11.31263309
OtherGrain,12,3.699398447,0.758751305,5.012078236,2.659564196,9838.787655,1.884548696,0.285291593
OtherMeat_Fish,12,1.491075055,7.135496294,11.68842482,1.2457681,1857.533739,9.382504511,5.727788578
Pork,12,4.057700862,27.96301039,11.69976287,3.02100172,12258.32128,3.872809072,9.256204723
Poultry,12,3.637087916,9.277122368,12.19618004,1.358275516,4940.167466,8.979165048,6.83007406
Rice,12,0.364304358,0.651380709,4.957636405,2.542903362,926.390776,1.949596858,0.256156297
